Epoch  1 | Train Acc:0.4557 | Test Acc:0.5843 | Time:29.85s
Epoch  2 | Train Acc:0.5910 | Test Acc:0.6632 | Time:31.78s
Epoch  3 | Train Acc:0.6474 | Test Acc:0.6734 | Time:31.60s
Epoch  4 | Train Acc:0.6762 | Test Acc:0.7154 | Time:31.58s
Epoch  5 | Train Acc:0.6969 | Test Acc:0.7213 | Time:31.54s
Epoch  6 | Train Acc:0.7117 | Test Acc:0.7411 | Time:31.55s
Epoch  7 | Train Acc:0.7244 | Test Acc:0.7444 | Time:31.76s
Epoch  8 | Train Acc:0.7352 | Test Acc:0.7463 | Time:31.55s
Epoch  9 | Train Acc:0.7432 | Test Acc:0.7546 | Time:31.65s
Epoch 10 | Train Acc:0.7516 | Test Acc:0.7558 | Time:31.63s
Epoch 11 | Train Acc:0.7592 | Test Acc:0.7608 | Time:30.95s
Epoch 12 | Train Acc:0.7639 | Test Acc:0.7651 | Time:30.83s
Epoch 13 | Train Acc:0.7698 | Test Acc:0.7622 | Time:31.71s
Epoch 14 | Train Acc:0.7724 | Test Acc:0.7616 | Time:31.83s
Epoch 15 | Train Acc:0.7789 | Test Acc:0.7672 | Time:31.80s
Epoch 16 | Train Acc:0.7827 | Test Acc:0.7755 | Time:31.73s
Epoch 17 | Train Acc:0.7863 | Test Acc:0.7814 | Time:30.96s
Epoch 18 | Train Acc:0.7898 | Test Acc:0.7705 | Time:31.57s
Epoch 19 | Train Acc:0.7928 | Test Acc:0.7761 | Time:31.66s
Epoch 20 | Train Acc:0.7941 | Test Acc:0.7763 | Time:31.51s
Epoch 21 | Train Acc:0.7990 | Test Acc:0.7896 | Time:31.49s
Epoch 22 | Train Acc:0.8026 | Test Acc:0.7806 | Time:31.30s
Epoch 23 | Train Acc:0.8064 | Test Acc:0.7868 | Time:31.35s
Epoch 24 | Train Acc:0.8092 | Test Acc:0.7894 | Time:31.47s
