Epoch  1 | Train Acc:0.4619 | Test Acc:0.5724 | Time:37.91s
Epoch  2 | Train Acc:0.5912 | Test Acc:0.6571 | Time:40.58s
Epoch  3 | Train Acc:0.6437 | Test Acc:0.6734 | Time:40.66s
Epoch  4 | Train Acc:0.6729 | Test Acc:0.7059 | Time:40.26s
Epoch  5 | Train Acc:0.6963 | Test Acc:0.7136 | Time:40.86s
Epoch  6 | Train Acc:0.7126 | Test Acc:0.7348 | Time:40.09s
Epoch  7 | Train Acc:0.7248 | Test Acc:0.7405 | Time:40.24s
Epoch  8 | Train Acc:0.7363 | Test Acc:0.7339 | Time:40.16s
Epoch  9 | Train Acc:0.7444 | Test Acc:0.7389 | Time:40.29s
Epoch 10 | Train Acc:0.7536 | Test Acc:0.7569 | Time:40.16s
Epoch 11 | Train Acc:0.7624 | Test Acc:0.7521 | Time:40.20s
Epoch 12 | Train Acc:0.7674 | Test Acc:0.7612 | Time:40.29s
Epoch 13 | Train Acc:0.7724 | Test Acc:0.7710 | Time:40.24s
Epoch 14 | Train Acc:0.7798 | Test Acc:0.7647 | Time:39.99s
Epoch 15 | Train Acc:0.7861 | Test Acc:0.7818 | Time:40.17s
Epoch 16 | Train Acc:0.7935 | Test Acc:0.7689 | Time:39.91s
Epoch 17 | Train Acc:0.7986 | Test Acc:0.7790 | Time:40.41s
Epoch 18 | Train Acc:0.7993 | Test Acc:0.7905 | Time:40.37s
Epoch 19 | Train Acc:0.8058 | Test Acc:0.7867 | Time:39.89s
Epoch 20 | Train Acc:0.8096 | Test Acc:0.7795 | Time:39.94s
Epoch 21 | Train Acc:0.8098 | Test Acc:0.7893 | Time:39.79s
Epoch 22 | Train Acc:0.8147 | Test Acc:0.7899 | Time:40.14s
Epoch 23 | Train Acc:0.8195 | Test Acc:0.7930 | Time:40.03s
Epoch 24 | Train Acc:0.8236 | Test Acc:0.7997 | Time:40.04s
