Epoch  1 | Train Acc:0.4350 | Test Acc:0.5758 | Time:37.95s
Epoch  2 | Train Acc:0.5735 | Test Acc:0.6506 | Time:40.58s
Epoch  3 | Train Acc:0.6278 | Test Acc:0.6662 | Time:40.78s
Epoch  4 | Train Acc:0.6635 | Test Acc:0.7032 | Time:40.31s
Epoch  5 | Train Acc:0.6851 | Test Acc:0.7127 | Time:39.86s
Epoch  6 | Train Acc:0.7044 | Test Acc:0.7072 | Time:40.53s
Epoch  7 | Train Acc:0.7171 | Test Acc:0.7317 | Time:40.58s
Epoch  8 | Train Acc:0.7254 | Test Acc:0.7384 | Time:40.38s
Epoch  9 | Train Acc:0.7336 | Test Acc:0.7385 | Time:40.78s
Epoch 10 | Train Acc:0.7445 | Test Acc:0.7355 | Time:40.25s
Epoch 11 | Train Acc:0.7520 | Test Acc:0.7679 | Time:40.65s
Epoch 12 | Train Acc:0.7571 | Test Acc:0.7369 | Time:40.65s
Epoch 13 | Train Acc:0.7645 | Test Acc:0.7447 | Time:40.47s
Epoch 14 | Train Acc:0.7712 | Test Acc:0.7610 | Time:40.13s
Epoch 15 | Train Acc:0.7764 | Test Acc:0.7490 | Time:40.33s
Epoch 16 | Train Acc:0.7763 | Test Acc:0.7737 | Time:40.06s
Epoch 17 | Train Acc:0.7812 | Test Acc:0.7730 | Time:40.39s
Epoch 18 | Train Acc:0.7846 | Test Acc:0.7753 | Time:40.41s
Epoch 19 | Train Acc:0.7902 | Test Acc:0.7570 | Time:39.96s
Epoch 20 | Train Acc:0.7912 | Test Acc:0.7662 | Time:40.13s
Epoch 21 | Train Acc:0.7964 | Test Acc:0.7753 | Time:40.33s
Epoch 22 | Train Acc:0.7982 | Test Acc:0.7857 | Time:40.16s
Epoch 23 | Train Acc:0.8021 | Test Acc:0.7783 | Time:40.29s
Epoch 24 | Train Acc:0.8031 | Test Acc:0.7796 | Time:40.19s
