Epoch  1 | Train Acc:0.1707 | Test Acc:0.2458 | Time:25.29s
Epoch  2 | Train Acc:0.2448 | Test Acc:0.2734 | Time:25.37s
Epoch  3 | Train Acc:0.2802 | Test Acc:0.3091 | Time:24.86s
Epoch  4 | Train Acc:0.3098 | Test Acc:0.3378 | Time:25.93s
Epoch  5 | Train Acc:0.3347 | Test Acc:0.3433 | Time:25.58s
Epoch  6 | Train Acc:0.3543 | Test Acc:0.3581 | Time:25.26s
Epoch  7 | Train Acc:0.3689 | Test Acc:0.3747 | Time:25.25s
Epoch  8 | Train Acc:0.3853 | Test Acc:0.3959 | Time:25.95s
Epoch  9 | Train Acc:0.3950 | Test Acc:0.4069 | Time:25.46s
Epoch 10 | Train Acc:0.4089 | Test Acc:0.4282 | Time:26.27s
Epoch 11 | Train Acc:0.4135 | Test Acc:0.4177 | Time:25.34s
Epoch 12 | Train Acc:0.4261 | Test Acc:0.4485 | Time:25.63s
Epoch 13 | Train Acc:0.4356 | Test Acc:0.4467 | Time:24.41s
Epoch 14 | Train Acc:0.4456 | Test Acc:0.4599 | Time:25.21s
Epoch 15 | Train Acc:0.4514 | Test Acc:0.4595 | Time:25.85s
Epoch 16 | Train Acc:0.4568 | Test Acc:0.4696 | Time:24.77s
Epoch 17 | Train Acc:0.4639 | Test Acc:0.4641 | Time:24.72s
Epoch 18 | Train Acc:0.4693 | Test Acc:0.4831 | Time:24.95s
Epoch 19 | Train Acc:0.4756 | Test Acc:0.4937 | Time:25.29s
Epoch 20 | Train Acc:0.4803 | Test Acc:0.4962 | Time:24.71s
Epoch 21 | Train Acc:0.4872 | Test Acc:0.5055 | Time:24.81s
Epoch 22 | Train Acc:0.4949 | Test Acc:0.5033 | Time:25.12s
Epoch 23 | Train Acc:0.4978 | Test Acc:0.5158 | Time:25.40s
Epoch 24 | Train Acc:0.5044 | Test Acc:0.5195 | Time:25.05s
